


rupal

name,100,400,700,1000,1300,1600,1900



physics

name,100,400,700,1000,1300,1600,1900
TunedLearner,10346.7/318.0,13764.4/354.0,14004.1/366.0,14594.8/342.0,16241.4/372.0,17895.7/348.0,18972.7/360.0
Naive,156.7,192.0,476.6,1044.9,1575.1,2276.2,2770.0
Smote,4506.5,49296.4



electronics

name,100,400,700,1000,1300,1600,1900
TunedLearner,8457.7/366.0,9082.0/348.0,10956.3/354.0,11103.2/348.0,12571.6/360.0,14322.2/336.0,15340.8/366.0
Naive,143.8,169.0,452.5,916.4,1609.7,1961.5,2693.1
Smote,3226.7,7736.5,17821.8,24532.4,28248.2



academia

name,100,400,700,1000,1300,1600,1900
TunedLearner,979.1/342.0,1120.9/360.0,1476.9/354.0,1580.6/360.0,1789.2/384.0,1884.5/354.0,2107.4/384.0
Naive,7.9,11.1,14.4,17.0,20.0,24.9,28.8
Smote,112.3,257.9,422.8,596.8,745.8,871.4,1004.1



rpg

name,100,400,700,1000,1300,1600,1900
TunedLearner,1482.2/348.0,1627.8/354.0,1664.7/330.0,1885.5/354.0,1918.0/348.0,2125.7/372.0,2126.6/360.0
Naive,11.5,16.3,19.8,23.1,28.1,32.0,36.1
Smote,100.7,239.3,445.4,602.5,743.8,935.4,1083.4



scifi

name,100,400,700,1000,1300,1600,1900
TunedLearner,4172.8/336.0,4632.2/354.0,4644.6/324.0,5031.8/366.0,5316.5/354.0,6159.5/354.0,6372.1/354.0
Naive,110.7,126.7,140.4,157.5,178.3,199.1,211.6
Smote,616.1,2513.7,3739.8,5592.3,6371.0,7335.4,8267.4



tex

name,100,400,700,1000,1300,1600,1900
TunedLearner,19669.2/348.0,24762.3/366.0,54922.7/348.0,72751.8/366.0,77161.7/348.0,95148.7/354.0,97034.6/366.0
Naive,1302.3,1541.5,1772.4,2081.9,13284.1,51293.9,66127.5
Smote,17729.4



gamedev

name,100,400,700,1000,1300,1600,1900
TunedLearner,3151.9/324.0,3826.3/360.0,3966.5/354.0,4124.9/366.0,4184.8/342.0,4533.5/354.0,4629.1/336.0
Naive,101.5,106.8,120.2,130.3,140.7,141.7,162.1
Smote,620.3,1512.0,2810.5,3917.7,4812.1,5287.2,6619.3



english

name,100,400,700,1000,1300,1600,1900
Naive,158.4,188.3,487.7,818.9,855.7,1667.5,2705.3
Smote,3281.4



androidd

name,100,400,700,1000,1300,1600,1900



apple

name,100,400,700,1000,1300,1600,1900
TunedLearner,6151.5/330.0,6911.7/354.0,7925.3/342.0,8086.8/384.0,8426.2/348.0,9008.7/360.0,9552.2/360.0
Naive,55.8,87.9,103.6,124.0,149.9,172.9,195.8
Smote,1577.3,4587.7,6599.3,10302.4,12218.2,17157.0,20298.7
